FT_CC,FT_SA,FT_CBH,FT_BA,FT_ELEV,FT_SLOPE,FT_ASPECT,CC_SA,CC_CBH,CC_BA,CC_ELEV,CC_SLOPE,CC_ASPECT,SA_CBH,SA_BA,SA_ELEV,SA_SLOPE,SA_ASPECT,CBH_BA,CBH_ELEV,CBH_SLOPE,CBH_ASPECT,BA_ELEV,BA_SLOPE,BA_ASPECT,ELEV_SLOPE,ELEV_ASPECT,SLOPE_ASPECT
1.00,3.00,5.00,4.00,0.17,2.00,2.00,6.00,8.00,6.00,0.25,5.00,2.00,2.00,2.00,0.13,0.25,0.17,0.33,0.11,0.13,0.13,0.14,0.20,0.17,3.00,4.00,0.33
0.11,0.25,0.33,0.25,0.17,0.13,0.50,7.00,9.00,6.00,8.00,6.00,9.00,0.33,0.25,0.33,0.13,0.17,5.00,0.14,0.11,0.33,4.00,0.13,0.20,0.13,0.20,9.00
0.14,0.20,1.00,0.25,5.00,4.00,5.00,5.00,6.00,2.00,6.00,6.00,6.00,1.00,0.50,2.00,2.00,2.00,0.25,2.00,2.00,2.00,5.00,5.00,5.00,1.00,1.00,1.00
3.00,3.00,7.00,7.00,3.00,5.00,5.00,3.00,7.00,7.00,0.20,0.33,0.33,8.00,8.00,0.33,3.00,3.00,1.00,0.14,0.20,0.20,0.14,0.20,0.20,3.00,3.00,1.00
2.00,2.00,3.00,3.00,0.20,2.00,5.00,5.00,2.00,5.00,0.50,6.00,7.00,0.33,0.50,0.20,0.33,1.00,3.00,0.50,2.00,2.00,0.14,0.33,1.00,4.00,5.00,6.00
1.00,4.00,4.00,1.00,7.00,2.00,1.00,7.00,4.00,2.00,7.00,5.00,3.00,1.00,0.20,0.20,0.25,0.20,0.20,2.00,0.33,0.33,5.00,2.00,2.00,0.33,0.20,1.00
0.13,0.11,0.14,0.17,3.00,0.17,0.13,0.13,0.17,0.20,9.00,9.00,6.00,0.33,5.00,9.00,9.00,2.00,6.00,8.00,4.00,0.33,8.00,6.00,0.25,0.17,0.11,0.11
0.17,4.00,3.00,0.20,1.00,0.33,0.14,4.00,5.00,0.33,0.20,0.25,0.25,2.00,0.33,5.00,0.25,0.25,0.33,5.00,3.00,0.33,0.33,4.00,4.00,0.25,0.20,0.33
